REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
4,2021,"Renelies-Hamilton, Justinn; Germer, Kristjan; Sillam-Dussès, David; Bodawatta, Kasun H.; Poulsen, Michael","Disentangling the Relative Roles of Vertical Transmission, Subsequent Colonizations, and Diet on Cockroach Microbiome Assembly",mSphere,2379-5042,,1,6,Studies that did not meet inclusion criteria,Only manipulated eggcases (control vs. antibiotic-treated),
4,2021,"Huang, Qingmei; Lu, Siliang; Zhu, Yunlei; Wei, Bingmei; Chen, Yujun; Bai, Faming",Bacterial endotoxin-induced maternal inflammation leads to fetal intestinal injury and affects microbial colonization in the neonatal period,Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,,,,Studies that did not meet inclusion criteria,,
4,2021,"Zhou, Haimei; Wu, Huadong; Chen, Yixin; Zou, Wanjie; Lu, Wei; He, Yuyong",Administration of All-Trans Retinoic Acid to Pregnant Sows Alters Gut Bacterial Community of Neonatal Piglets With Different Hoxa1 Genotypes,Frontiers in Microbiology,,712212,,12,Studies that did not meet inclusion criteria,,
4,2021,"Wang, Kai; Kong, Xiangfeng; Azad, Md Abul Kalam; Zhu, Qian; Xiong, Liang; Zheng, Yuzhong; Hu, Zhangli; Yin, Yulong; He, Qinghua","Maternal Probiotic or Synbiotic Supplementation Modulates Jejunal and Colonic Antioxidant Capacity, Mitochondrial Function, and Microbial Abundance in Bama Mini-piglets",Oxidative Medicine and Cellular Longevity,1942-0900,6618874,,2021,Studies that did not meet inclusion criteria,,
4,2021,"Wang, Kui; Liu, Qi; Liu, Chunqin; Geng, Lili; Wang, Guirong; Zhang, Jie; Shu, Changlong",Dominant egg surface bacteria of Holotrichia oblita (Coleoptera: Scarabaeidae) inhibit the multiplication of Bacillus thuringiensis and Beauveria bassiana.,Scientific Reports,2045-2322,9499,1,11,Studies that did not meet inclusion criteria,,
4,2021,"Wang, Yibing; Wang, Yang; Lin, Xiajing; Gou, Zhongyong; Fan, Qiuli; Jiang, Shouqun","Effects of Clostridium butyricum, Sodium Butyrate, and Butyric Acid Glycerides on the Reproductive Performance, Egg Quality, Intestinal Health, and Offspring Performance of Yellow-Feathered Breeder Hens",Frontiers in Microbiology,,657542,,12,Studies that did not meet inclusion criteria,,
4,2021,"Ye, Lin; Zhang, Qianren; Xin, Fengzhi; Cao, Baige; Qian, Linxi; Dong, Yan",Neonatal Milk Fat Globule Membrane Supplementation During Breastfeeding Ameliorates the Deleterious Effects of Maternal High-Fat Diet on Metabolism and Modulates Gut Microbiota in Adult Mice Offspring in a Sex-Specific Way,Frontiers in Cellular and Infection Microbiology,2235-2988,621957,,11,Studies that did not meet inclusion criteria,,
4,2021,"Quin, Candice; Ghosh, Sanjoy; Dai, Chuanbin; Barnett, Jacqueline A.; Garner, Alexander M.; Yoo, Rachael K. H.; Zandberg, Wesley F.; Botta, Amy; Gorzelak, Monika A.; Gibson, Deanna L.",Maternal Intake of Dietary Fat Pre-Programs Offspring's Gut Ecosystem Altering Colonization Resistance and Immunity to Infectious Colitis in Mice,Molecular Nutrition & Food Research,1613-4125,2000635,6,65,Studies that did not meet inclusion criteria,,
4,2021,"Van Meyel, Sophie; Devers, Severine; Dupont, Simon; Dedeine, Franck; Meunier, Joel",Alteration of gut microbiota with a broad-spectrum antibiotic does not impair maternal care in the European earwig,Journal of Evolutionary Biology,1010-061X,1034-1045,7,34,Studies that did not meet inclusion criteria,,
4,2021,"Velando, Alberto; Carlos Noguera, Jose; Aira, Manuel; Dominguez, Jorge",Gut microbiome and telomere length in gull hatchlings,Biology Letters,1744-9561,20210398,10,17,Studies that did not meet inclusion criteria,,
4,2021,"Li, Hao; Ma, Longteng; Zhang, Longlin; Liu, Nian; Li, Zhiqing; Zhang, Fan; Liu, Xiang; Ma, Xiaokang",Dietary Inulin Regulated Gut Microbiota and Improved Neonatal Health in a Pregnant Sow Model,Frontiers in Nutrition,2296-861X,716723,,8,Studies that did not meet inclusion criteria,,
4,2021,"Ni, Hengjia; Long, Lina; Bin, Peng; Azad, Md Abul Kalam; Xu, Kang; Zhou, Xihong; Ding, Xinghua; Liu, Gang",Maternal cysteine intake influenced oxidative status and lipid-related gut microbiota and plasma metabolomics in male suckling piglets,Animal Feed Science and Technology,0377-8401,114947,,276,Studies that did not meet inclusion criteria,,
4,2021,"Gao, Hui; Wan, Xueyan; Xiao, Boya; Yang, Kaichao; Wang, Yafei; Zhang, Cheng; Li, Pei; Liu, Luming; Xia, Tao; Wang, Aiguo; Zhang, Shun","Impacts of PBDE-47 exposure before, during and after pregnancy on the maternal gut microbiome and its association with host metabolism",Ecotoxicology and Environmental Safety,0147-6513,112530,,222,Studies that did not meet inclusion criteria,,
4,2021,"He, Qin; Zou, Tiande; Chen, Jun; He, Jia; Jian, Li; Xie, Fei; You, Jinming; Wang, Zirui",Methyl-Donor Micronutrient for Gestating Sows: Effects on Gut Microbiota and Metabolome in Offspring Piglets,Frontiers in Nutrition,2296-861X,675640,,8,Studies that did not meet inclusion criteria,,
4,2021,"Cheng, Ruyue; Guo, Jiawen; Zhang, Yujie; Cheng, Guo; Qian, Wei; Wan, ChaoMin; Li, Ming; Marotta, Francesco; Shen, Xi; He, Fang",Impacts of ceftriaxone exposure during pregnancy on maternal gut and placental microbiota and its influence on maternal and offspring immunity in mice,Experimental Animals (Tokyo),1341-1357,203-217,2,70,Studies that did not meet inclusion criteria,,
4,2021,"Chleilat, Faye; Schick, Alana; Reimer, Raylene A.",Microbiota Changes in Fathers Consuming a High Prebiotic Fiber Diet Have Minimal Effects on Male and Female Offspring in Rats,Nutrients,2072-6643,820,3,13,Studies that did not meet inclusion criteria,Measured in fathers,
4,2021,"Choudhury, R.; Middelkoop, A.; Boekhorst, J.; Gerrits, W. J. J.; Kemp, B.; Bolhuis, J. E.; Kleerebezem, M.",Early life feeding accelerates gut microbiome maturation and suppresses acute post-weaning stress in piglets,Environmental Microbiology,1462-2912,,11,23,Studies that did not meet inclusion criteria,,
4,2021,"de la Garza, Ana Laura; Romero-Delgado, Bianca; Martínez-Tamez, Alejandra Mayela; Cárdenas-Tueme, Marcela; Camacho-Zamora, Bianka Dianey; Matta-Yee-Chig, Daniel; Sánchez-Tapia, Mónica; Torres, Nimbe; Camacho-Morales, Alberto",Maternal Sweeteners Intake Modulates Gut Microbiota and Exacerbates Learning and Memory Processes in Adult Male Offspring,Frontiers in Pediatrics,2296-2360,746437,,9,Studies that did not meet inclusion criteria,,
4,2021,"Hsu, Chien-Ning; Chan, Julie Y. H.; Wu, Kay L. H.; Yu, Hong-Ren; Lee, Wei-Chia; Hou, Chih-Yao; Tain, You-Lin",Altered Gut Microbiota and Its Metabolites in Hypertension of Developmental Origins: Exploring Differences between Fructose and Antibiotics Exposure,International Journal of Molecular Sciences,,2674,5,22,Studies that did not meet inclusion criteria,,
4,2021,"Abdelhafiz, Yousri; Fernandes, Jorge M. O.; Stefani, Erika; Albanese, Davide; Donati, Claudio; Kiron, Viswanath",Power Play of Commensal Bacteria in the Buccal Cavity of Female Nile Tilapia,Frontiers in Microbiology,1664-302X,773351,,12,Studies that did not meet inclusion criteria,,
4,2021,"Hsu, Chien-Ning; Hou, Chih-Yao; Chang-Chien, Guo-Ping; Lin, Sufan; Chan, Julie Y. H.; Lee, Chien-Te; Tain, You-Lin",Maternal resveratrol therapy protected adult rat offspring against hypertension programmed by combined exposures to asymmetric dimethylarginine and trimethylamine-N-oxide,Journal of Nutritional Biochemistry,0955-2863,108630,,93,Studies that did not meet inclusion criteria,,
4,2021,"Hsu, Chien-Ning; Hou, Chih-Yao; Lee, Chien-Te; Chang-Chien, Guo-Ping; Lin, Sufan; Tain, You-Lin","Maternal 3,3-Dimethyl-1-Butanol Therapy Protects Adult Male Rat Offspring against Hypertension Programmed by Perinatal TCDD Exposure",Nutrients,2072-6643,3041,9,13,Studies that did not meet inclusion criteria,,
4,2021,"Lim, Ai Ing; McFadden, Taryn; Link, Verena M.; Han, Seong-Ji; Karlsson, Rose-Marie; Stacy, Apollo; Farley, Taylor K.; Lima-Junior, Djalma S.; Harrison, Oliver J.; Desai, Jigar V.; Lionakis, Michail S.; Shih, Han-Yu; Cameron, Heather A.; Belkaid, Yasmine",Prenatal maternal infection promotes tissue-specific immunity and inflammation in offspring,Science (Washington D C),0036-8075,eabf3002,6558,373,Studies that did not meet inclusion criteria,,
4,2021,"Sun, Yue; Xie, Runxiang; Li, Lu; Jin, Ge; Zhou, Bingqian; Huang, Huan; Li, Mengfan; Yang, Yunwei; Liu, Xiang; Cao, Xiaocang; Wang, Bangmao; Liu, Wentian; Jiang, Kui; Cao, Hailong",Prenatal Maternal Stress Exacerbates Experimental Colitis of Offspring in Adulthood,Frontiers in Immunology,1664-3224,700995,,12,Studies that did not meet inclusion criteria,,
4,2021,"Wang, Qiang-Song; Wang, Yi-Lun; Zhang, Wen-Yan; Li, Kuang-Dai; Luo, Xiong-Fei; Cui, Yuan-Lu",Puerarin from Pueraria lobata alleviates the symptoms of irritable bowel syndrome-diarrhea,Food & Function,2042-6496,2211-2224,5,12,Studies that did not meet inclusion criteria,,
4,2021,"Vuong, Helen E.; Coley, Elena J. L.; Kazantsev, Maria; Cooke, Michaela E.; Rendon, Tomiko K.; Paramo, Jorge; Hsiao, Elaine Y.","Interactions between maternal fluoxetine exposure, the maternal gut microbiome and fetal neurodevelopment in mice",Behavioural Brain Research,0166-4328,113353,,410,Studies that did not meet inclusion criteria,,
1,2022,"Farinella, Riccardo; Rizzato, Cosmeri; Bottai, Daria; Bedini, Alice; Gemignani, Federica; Landi, Stefano; Peduzzi, Giulia; Rosati, Sara; Lupetti, Antonella; Cuttano, Armando; Moscuzza, Francesca; Tuoni, Cristina; Filippi, Luca; Ciantelli, Massimiliano; Tavanti, Arianna; Campa, Daniele",Maternal anthropometric variables and clinical factors shape neonatal microbiome,Scientific Reports,2045-2322,2875,1,12,Studies that did not meet inclusion criteria,,
1,2022,"Xu, Tiansong; Yan, Lihuang; Sun, Bohui; Xu, Qi; Zhang, Jieni; Zhu, Wenhui; Zhang, Qian; Chen, Ning; Liu, Guoli; Chen, Feng",Impacts of Delivery Mode and Maternal Factors on Neonatal Oral Microbiota,Frontiers in Microbiology,,915423,,13,Studies that did not meet inclusion criteria,,
1,2022,"Saraf, Viqar Sayeed; Bhatti, Theophilus; Javed, Sundus; Bokhari, Habib",Antimicrobial Resistance Pattern in E. coli Isolated from Placental Tissues of Pregnant Women in Low-Socioeconomic Setting of Pakistan,Current Microbiology,0343-8651,83,3,79,Studies that did not meet inclusion criteria,,
1,2022,"Kato, Satsuki; Nagasawa, Toshiyuki; Uehara, Osamu; Shimizu, Shintaro; Sugiyama, Nodoka; Hasegawa-Nakamura, Kozue; Noguchi, Kazuyuki; Hatae, Masayuki; Kakinoki, Hiroshige; Furuichi, Yasushi",Increase in Bifidobacterium is a characteristic of the difference in the salivary microbiota of pregnant and non-pregnant women,Bmc Oral Health,1472-6831,260,1,22,Studies that did not meet inclusion criteria,,
1,2022,"Latino, Cathy; Gianatti, Emily J.; Mehta, Shailender; Lo, Johnny; Devine, Amanda; Christophersen, Claus",Does a high dietary intake of resistant starch affect glycaemic control and alter the gut microbiome in women with gestational diabetes? A randomised control trial protocol,Bmc Pregnancy and Childbirth,,46,1,22,Studies that did not meet inclusion criteria,,
1,2022,"Freitas, R. G. B. O. N.; Vasques, A. C. J.; Fernandes, G. R.; Ribeiro, F. B.; Solar, I.; Barbosa, M. G.; Almeida-Pititto, B.; Geloneze, B.; Ferreira, S. R. G.",Gestational weight gain and visceral adiposity in adult offspring: Is there a link with the fecal abundance of Acidaminococcus genus?,European Journal of Clinical Nutrition,0954-3007,,,,Studies that did not meet inclusion criteria,,
1,2022,"Jin, Jenny C.; Ananthanarayanan, Aparna; Brown, Julia A.; Rager, Stephanie L.; Bram, Yaron; Sanidad, Katherine Z.; Amir, Mohammed; Baergen, Rebecca N.; Stuhlmann, Heidi; Schwartz, Robert E.; Perlman, Jeffrey M.; Zeng, Melody Y.",SARS CoV-2 detected in neonatal stool remote from maternal COVID-19 during pregnancy,Pediatric Research,0031-3998,,,,Studies that did not meet inclusion criteria,,
1,2022,"Liang, Yun-Yi; Liu, Ling-Yu; Jia, Yan; Li, Yi; Cai, Jie-Na; Shu, Yi; Tan, Jing-Yi; Chen, Pei-Yi; Li, Hong-Wei; Cai, Hui-Hua; Cai, Xiang-Sheng",Correlation between gut microbiota and glucagon-like peptide-1 in patients with gestational diabetes mellitus,World Journal of Diabetes,,861-876,10,13,Studies that did not meet inclusion criteria,,
1,2022,"Wassermann, Birgit; Abdelfattah, Ahmed; Wicaksono, Wisnu Adi; Kusstatscher, Peter; Mueller, Henry; Cernava, Tomislav; Goertz, Simon; Rietz, Steffen; Abbadi, Amine; Berg, Gabriele",The Brassica napus seed microbiota is cultivar-specific and transmitted via paternal breeding lines,Microbial Biotechnology,1751-7915,,9,15,Studies that did not meet inclusion criteria,,
1,2022,"Ssebambulidde, Kenneth; Kayiira, Anthony; Segawa, Ivan; Namanda, Sylvia; Nakibuuka, Victoria; Musiime, Victor; Ward, Theresa H.",Relationship between maternal and/or newborn cholesterol levels and neonatal septicemia: protocol for a Ugandan cohort of mother-newborn pairs,Bmc Pediatrics,,434,1,22,Studies that did not meet inclusion criteria,,
1,2022,"Lemme-Dumit, Jose M.; Song, Yang; Lwin, Hnin Wai; Hernandez-Chavez, Claudia; Sundararajan, Sripriya; Viscardi, Rose M.; Ravel, Jacques; Pasetti, Marcela F.; Ma, Bing",Altered Gut Microbiome and Fecal Immune Phenotype in Early Preterm Infants With Leaky Gut,Frontiers in Immunology,1664-3224,815046,,13,Studies that did not meet inclusion criteria,,
1,2022,"Puthota, Jennifer; Alatorre, Andrea; Walsh, Samantha; Clemente, Jose C.; Malaspina, Dolores; Spicer, Julie",Prenatal ambient temperature and risk for schizophrenia,Schizophrenia Research,0920-9964,67-83,,247,Studies that did not meet inclusion criteria,Meta-analysis,
1,2022,"Becerra-Mojica, Carlos Hernan; Parra-Saavedra, Miguel Antonio; Diaz-Martinez, Luis Alfonso; Martinez-Portilla, Raigam Jafet; Rincon Orozco, Bladimiro","Cohort profile: Colombian Cohort for the Early Prediction of Preterm Birth (COLPRET): early prediction of preterm birth based on personal medical history, clinical characteristics, vaginal microbiome, biophysical characteristics of the cervix and maternal serum biochemical markers",Bmj Open,2044-6055,e060556,5,12,Studies that did not meet inclusion criteria,,
1,2022,"Frazer, Lauren C.; Yakah, William; Martin, Camilia R.",Decreased Acetic Acid in the Stool of Preterm Infants Is Associated with an Increased Risk of Bronchopulmonary Dysplasia,Nutrients,,2412,12,14,Studies that did not meet inclusion criteria,,
1,2022,"Ronzoni, Stefania; Cobo, Teresa; D'Souza, Rohan; Asztalos, Elizabeth; O'Rinn, Susan E.; Cao, Xingshan; Herranz, Ana; Melamed, Nir; Ferrero, Silvia; Barrett, Jon; Aldecoa, Victoria; Palacio, Montse","Individualized treatment of preterm premature rupture of membranes to prolong the latency period, reduce the rate of preterm birth, and improve neonatal outcomes",American Journal of Obstetrics and Gynecology,0002-9378,,2,227,Studies that did not meet inclusion criteria,,
1,2022,"Wolf, Hope M.; Romero, Roberto; Strauss, Jerome F.; Hassan, Sonia S.; Latendresse, Shawn J.; Webb, Bradley T.; Tarca, Adi L.; Gomez-Lopez, Nardhy; Hsu, Chaur-Dong; York, Timothy P.",Study protocol to quantify the genetic architecture of sonographic cervical length and its relationship to spontaneous preterm birth,Bmj Open,2044-6055,e053631,3,12,Studies that did not meet inclusion criteria,,
1,2022,"Fernandes, Michelle; Winckworth, Lucinda; Lee, Lyrille; Akram, Madiha; Struthers, Simon",Screening for early-onset neonatal sepsis on the Kaiser Permanente sepsis risk calculator could reduce neonatal antibiotic usage by two-thirds,Pediatric Investigation,2096-3726,171-178,3,6,Studies that did not meet inclusion criteria,,
1,2022,"Gan, Qiangsheng; Ye, Weitao; Zhao, Xueqin; Teng, Yaoyao; Mei, Shanshan; Long, Yan; Ma, Jun; Rehemutula, Rehemayi; Zhang, Xiaoyan; Zeng, Fangling; Jin, Hongmei; Liu, Fei; Huang, Yaogang; Gao, Xiaoli; Zhu, Chunyan",Mediating effects of gut microbiota in the associations of air pollutants exposure with adverse pregnancy outcomes,Ecotoxicology and Environmental Safety,0147-6513,113371,,234,Studies that did not meet inclusion criteria,,
1,2022,"Sun, Haipeng; Yamada, Pamella; Paetow, Alexandra; Chan, Michael; Arslan, Alan; Landberg, Rikard; Dominguez-Bello, Maria Gloria; Young, Bruce K.",A randomized controlled trial of the effects of whole grains versus refined grains diets on the microbiome in pregnancy,Scientific Reports,2045-2322,7509,1,12,Studies that did not meet inclusion criteria,,
1,2022,"Scheurer, Johannah M.; Fanta, Meghan L.; Colbenson, Gretchen A.; Arbefeville, Sophie; Ferrieri, Patricia",Early-Onset Neonatal Sepsis Caused by Vertical Transmission of Pasteurella multocida,Ajp Reports,2157-6998,E123-E126,2,12,Studies that did not meet inclusion criteria,,
2,2022,"Varian, Bernard J.; Weber, Katherine T.; Kim, Lily J.; Chavarria, Tony E.; Carrasco, Sebastian E.; Muthupalani, Sureshkumar; Poutahidis, Theofilos; Zafarullah, Marwa; Al Olaby, Reem R.; Barboza, Mariana; Solakyildirim, Kemal; Lebrilla, Carlito; Tassone, Flora; Wu, Fuqing; Alm, Eric J.; Erdman, Susan E.",Maternal Microbiota Modulate a Fragile X-like Syndrome in Offspring Mice,Genes,,1409,8,13,Studies that did not meet inclusion criteria,,
2,2022,"Zhu, Huiyue; Tian, Peijun; Qian, Xin; Gu, Luping; Zhao, Jianxin; Wang, Gang; Chen, Wei",Perinatal transmission of a probiotic Bifidobacterium strain protects against early life stress-induced mood and gastrointestinal motility disorders,Food & Function,2042-6496,7520-7528,14,13,Studies that did not meet inclusion criteria,,
2,2022,"Jones, Megan W.; Fricke, Laura C.; Thorpe, Cody J.; Vander Esch, Lauren O.; Lindsey, Amelia R.","Infection Dynamics of Cotransmitted Reproductive Symbionts Are Mediated by Sex, Tissue, and Development",Applied and Environmental Microbiology,0099-2240,,13,88,Studies that did not meet inclusion criteria,,
2,2022,"Ordovas-Montanes, Maria; Preston, Gail M.; Drew, Georgia C.; Rafaluk-Mohr, Charlotte; King, Kayla C.",Reproductive consequences of transient pathogen exposure across host genotypes and generations.,Ecology and Evolution,2045-7758,e8720,3,12,Studies that did not meet inclusion criteria,,
